Id,Label,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+22,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+22,A,
1.54E+23,A,
1.54E+22,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+22,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+22,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+22,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+22,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+22,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+22,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+22,F,
1.54E+22,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+22,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+22,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+22,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+22,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+22,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+22,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+22,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+22,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+22,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+22,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+22,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+22,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+22,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+22,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+22,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+22,N,
1.54E+22,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+22,N,
1.54E+23,A,
1.54E+22,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+22,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+22,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+22,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+22,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+22,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+22,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+22,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+22,N,
1.54E+23,N,
1.54E+22,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+22,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+22,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+22,A,
1.54E+23,N,
1.54E+23,F,
1.54E+22,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+22,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+22,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+22,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+22,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+22,F,
1.54E+23,N,
1.54E+23,A,
1.54E+22,F,
1.54E+23,N,
1.54E+22,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+22,F,
1.54E+23,N,
1.54E+23,F,
1.54E+22,N,
1.54E+22,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+22,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+22,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+22,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+22,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+22,F,
1.54E+23,A,
1.54E+23,N,
1.54E+22,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+22,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+22,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+22,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+22,A,
1.54E+23,N,
1.54E+22,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+22,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+22,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+22,F,
1.54E+23,A,
1.54E+22,A,
1.54E+23,N,
1.54E+22,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+22,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+22,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+22,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+22,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+22,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+22,N,
1.54E+22,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+22,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+22,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+22,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+22,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+22,F,
1.54E+22,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+22,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+22,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+22,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+22,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+22,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+22,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+22,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+22,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+22,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+22,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+22,N,
1.54E+22,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+22,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+22,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+22,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+22,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+22,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+22,N,
1.54E+23,A,
1.54E+22,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+22,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+22,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+22,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+22,N,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+22,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+22,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,A,
1.54E+22,N,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,A,
1.54E+23,N,
1.54E+23,N,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,F,
1.54E+23,A,
1.54E+23,A,
1.54E+23,F,
1.54E+23,N,
1.54E+23,F,
1.54E+23,F,
1.54E+23,N,
